ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
20,80,0.0015,0.006,0.0002,-19.987679493369992
20,80,0.002,0.006,0.0002,-18.458482633620633
20,80,0.0005,0.008,0.0002,-31.81839169616908
20,80,0.001,0.008,0.0002,-29.290491373571882
20,80,0.0015,0.008,0.0002,-23.161900624900312
20,80,0.002,0.008,0.0002,-22.760453429830463
20,80,0.0005,0.01,0.0002,-32.49358006696076
20,80,0.001,0.01,0.0002,-31.672279096574073
20,80,0.0015,0.01,0.0002,-26.56052252377784
20,80,0.002,0.01,0.0002,-25.229475824561476
1,100,0.0005,0.002,1e-05,-4.089580212976685
1,100,0.001,0.002,1e-05,-3.862081456432953
1,100,0.0015,0.002,1e-05,-2.772711245963344
1,100,0.002,0.002,1e-05,-4.384788957204588
1,100,0.0005,0.006,1e-05,-7.021910001276755
1,100,0.001,0.006,1e-05,-6.417265686941331
1,100,0.0015,0.006,1e-05,-4.612838570306044
1,100,0.002,0.006,1e-05,-4.527475032907368
1,100,0.0005,0.008,1e-05,-7.302303021893408
1,100,0.001,0.008,1e-05,-6.321186332244622
1,100,0.0015,0.008,1e-05,-5.705258880576636
1,100,0.002,0.008,1e-05,-4.702985260341286
1,100,0.0005,0.01,1e-05,-7.456855272378915
1,100,0.001,0.01,1e-05,-5.721659481590901
1,100,0.0015,0.01,1e-05,-6.199235911274437
1,100,0.002,0.01,1e-05,-6.073207396791336
1,100,0.0005,0.002,5e-05,-17.36460965127805
1,100,0.001,0.002,5e-05,-12.068520035359697
1,100,0.0015,0.002,5e-05,-7.468915957176847
1,100,0.002,0.002,5e-05,-9.623638656970657
1,100,0.0005,0.006,5e-05,-24.10411942478331
1,100,0.001,0.006,5e-05,-21.33714595993641
1,100,0.0015,0.006,5e-05,-18.761606214239734
1,100,0.002,0.006,5e-05,-21.794048510934772
1,100,0.0005,0.008,5e-05,-23.642784529864812
1,100,0.001,0.008,5e-05,-21.43428216077854
1,100,0.0015,0.008,5e-05,-20.616006812360567
1,100,0.002,0.008,5e-05,-21.604765851494058
1,100,0.0005,0.01,5e-05,-24.103203010890894
1,100,0.001,0.01,5e-05,-21.98937161156952
1,100,0.0015,0.01,5e-05,-21.99884097026056
1,100,0.002,0.01,5e-05,-21.587524015212857
1,100,0.0005,0.002,0.0001,-25.45539928628483
1,100,0.001,0.002,0.0001,-15.126640599984054
1,100,0.0015,0.002,0.0001,-10.614270724563823
1,100,0.002,0.002,0.0001,-10.970321094442426
1,100,0.0005,0.006,0.0001,-32.69430622301934
1,100,0.001,0.006,0.0001,-23.779617274955946
1,100,0.0015,0.006,0.0001,-19.529281630106887
1,100,0.002,0.006,0.0001,-21.70842062606718
1,100,0.0005,0.008,0.0001,-34.29342874351554
1,100,0.001,0.008,0.0001,-24.727016398575373
1,100,0.0015,0.008,0.0001,-22.9448087409708
1,100,0.002,0.008,0.0001,-23.934329578120817
1,100,0.0005,0.01,0.0001,-34.4540266326279
1,100,0.001,0.01,0.0001,-24.61635636487007
1,100,0.0015,0.01,0.0001,-23.871867408529248
1,100,0.002,0.01,0.0001,-22.44863882573116
1,100,0.0005,0.002,0.0002,-37.241476495573245
1,100,0.001,0.002,0.0002,-24.70819665851972
1,100,0.0015,0.002,0.0002,-23.76547751075404
1,100,0.002,0.002,0.0002,-21.277537684526237
1,100,0.0005,0.006,0.0002,-43.65622325827244
1,100,0.001,0.006,0.0002,-33.90801988776864
1,100,0.0015,0.006,0.0002,-29.38780839487145
1,100,0.002,0.006,0.0002,-28.800519602569075
1,100,0.0005,0.008,0.0002,-43.434982039904604
1,100,0.001,0.008,0.0002,-32.17721098054581
1,100,0.0015,0.008,0.0002,-30.549490992791817
1,100,0.002,0.008,0.0002,-30.457702394119867
1,100,0.0005,0.01,0.0002,-40.439712079068514
1,100,0.001,0.01,0.0002,-31.423533286717774
1,100,0.0015,0.01,0.0002,-28.633855201238134
1,100,0.002,0.01,0.0002,-27.35529332017199
4,100,0.0005,0.002,1e-05,-3.644304797775255
4,100,0.001,0.002,1e-05,-3.939807480759261
4,100,0.0015,0.002,1e-05,-5.196924490825328
4,100,0.002,0.002,1e-05,-2.880572511479662
4,100,0.0005,0.006,1e-05,-2.409071974183874
4,100,0.001,0.006,1e-05,-2.5087297433670885
4,100,0.0015,0.006,1e-05,-4.801806350135895
4,100,0.002,0.006,1e-05,-2.886256879959803
4,100,0.0005,0.008,1e-05,-0.9395862125527565
4,100,0.001,0.008,1e-05,-1.6499487665939228
4,100,0.0015,0.008,1e-05,-6.549302160659964
4,100,0.002,0.008,1e-05,-4.052772789450265
4,100,0.0005,0.01,1e-05,-0.27679891607592655
4,100,0.001,0.01,1e-05,-2.1313203319734297
4,100,0.0015,0.01,1e-05,-7.576963320730778
4,100,0.002,0.01,1e-05,-5.326111352067797
4,100,0.0005,0.002,5e-05,-18.511376901794417
4,100,0.001,0.002,5e-05,-10.251712583717898
4,100,0.0015,0.002,5e-05,-10.045333683587987
4,100,0.002,0.002,5e-05,-8.223913760633806
4,100,0.0005,0.006,5e-05,-18.40312383497875
4,100,0.001,0.006,5e-05,-9.991405237780281
4,100,0.0015,0.006,5e-05,-9.636372555584716
4,100,0.002,0.006,5e-05,-8.16079817376294
4,100,0.0005,0.008,5e-05,-17.763165022775375
4,100,0.001,0.008,5e-05,-10.273233679199356
4,100,0.0015,0.008,5e-05,-12.303488475669788
4,100,0.002,0.008,5e-05,-12.333975749545056
4,100,0.0005,0.01,5e-05,-16.955097527984165
4,100,0.001,0.01,5e-05,-11.596197900102268
4,100,0.0015,0.01,5e-05,-13.280006617178596
4,100,0.002,0.01,5e-05,-13.917907137620912
4,100,0.0005,0.002,0.0001,-24.944197144623857
4,100,0.001,0.002,0.0001,-16.430054618786006
4,100,0.0015,0.002,0.0001,-14.590992631186573
4,100,0.002,0.002,0.0001,-12.086694879975068
4,100,0.0005,0.006,0.0001,-23.729578350800562
4,100,0.001,0.006,0.0001,-16.151076403611697
4,100,0.0015,0.006,0.0001,-14.027594650145382
4,100,0.002,0.006,0.0001,-8.777648794078964
4,100,0.0005,0.008,0.0001,-23.293510430981467
4,100,0.001,0.008,0.0001,-14.574806390379313
4,100,0.0015,0.008,0.0001,-14.49659081708945
4,100,0.002,0.008,0.0001,-11.769035629838786
4,100,0.0005,0.01,0.0001,-23.10299415288738
4,100,0.001,0.01,0.0001,-16.204338598029832
4,100,0.0015,0.01,0.0001,-16.28387412233201
4,100,0.002,0.01,0.0001,-14.503241726605632
4,100,0.0005,0.002,0.0002,-32.4633081635841
4,100,0.001,0.002,0.0002,-23.703616734345278
4,100,0.0015,0.002,0.0002,-24.230938457602157
4,100,0.002,0.002,0.0002,-15.299551423013035
4,100,0.0005,0.006,0.0002,-30.535960895658576
4,100,0.001,0.006,0.0002,-22.731061089830217
4,100,0.0015,0.006,0.0002,-21.411502910688853
4,100,0.002,0.006,0.0002,-13.659050575309484
4,100,0.0005,0.008,0.0002,-30.61950947406765
4,100,0.001,0.008,0.0002,-21.9993826656526
4,100,0.0015,0.008,0.0002,-20.149432399902768
4,100,0.002,0.008,0.0002,-15.652436629835197
4,100,0.0005,0.01,0.0002,-30.606499044232038
4,100,0.001,0.01,0.0002,-24.587487008060016
4,100,0.0015,0.01,0.0002,-22.571935281514367
4,100,0.002,0.01,0.0002,-16.733555856169914
12,100,0.0005,0.002,1e-05,-6.6162307986793785
12,100,0.001,0.002,1e-05,-6.08743740876474
12,100,0.0015,0.002,1e-05,-4.6986675695502855
12,100,0.002,0.002,1e-05,-4.4582990008151135
12,100,0.0005,0.006,1e-05,-4.741724096850497
12,100,0.001,0.006,1e-05,-7.260906374610587
12,100,0.0015,0.006,1e-05,-7.830415981881112
12,100,0.002,0.006,1e-05,-8.623599579459807
12,100,0.0005,0.008,1e-05,-4.87256348657874
12,100,0.001,0.008,1e-05,-6.933911534009985
12,100,0.0015,0.008,1e-05,-6.992605379762907
12,100,0.002,0.008,1e-05,-8.466138878011497
12,100,0.0005,0.01,1e-05,-4.299783935648948
12,100,0.001,0.01,1e-05,-5.310890998502016
12,100,0.0015,0.01,1e-05,-5.318960372531034
12,100,0.002,0.01,1e-05,-7.336597934191957
12,100,0.0005,0.002,5e-05,-19.60786522919049
12,100,0.001,0.002,5e-05,-18.01458914688585
12,100,0.0015,0.002,5e-05,-11.700422597842275
12,100,0.002,0.002,5e-05,-11.235382243753357
12,100,0.0005,0.006,5e-05,-17.77302641208288
12,100,0.001,0.006,5e-05,-16.64374503772529
