ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
12,100,0.005,0.01,1e-05,2.188319634998681
12,100,0.0015,0.002,5e-05,-11.700422597842275
12,100,0.002,0.002,5e-05,-11.235382243753357
12,100,0.003,0.002,5e-05,-8.313980004311794
12,100,0.005,0.002,5e-05,-2.5155452657613875
12,100,0.0015,0.006,5e-05,-15.342144976702022
12,100,0.002,0.006,5e-05,-17.043896396208325
12,100,0.003,0.006,5e-05,-15.347519175468216
12,100,0.005,0.006,5e-05,-8.202952364217131
12,100,0.0015,0.008,5e-05,-17.58097379602972
12,100,0.002,0.008,5e-05,-21.840203187847084
12,100,0.003,0.008,5e-05,-20.92617345080946
12,100,0.005,0.008,5e-05,-15.452843490991208
12,100,0.0015,0.01,5e-05,-18.873976401869598
12,100,0.002,0.01,5e-05,-20.67194957868763
12,100,0.003,0.01,5e-05,-21.186635134664712
12,100,0.005,0.01,5e-05,-11.194315680108136
20,100,0.0015,0.002,1e-06,-0.3269100839058958
20,100,0.002,0.002,1e-06,-0.5947472217916805
20,100,0.003,0.002,1e-06,-0.6883979070075319
20,100,0.005,0.002,1e-06,-1.2350207604794772
20,100,0.0015,0.006,1e-06,-2.41850128917398
20,100,0.002,0.006,1e-06,-2.584895831379974
20,100,0.003,0.006,1e-06,-3.331768682784242
20,100,0.005,0.006,1e-06,-4.131578069590081
20,100,0.0015,0.008,1e-06,-2.4521461531005317
20,100,0.002,0.008,1e-06,-2.81446142213313
20,100,0.003,0.008,1e-06,-3.944661781622405
20,100,0.005,0.008,1e-06,-4.739400240297198
20,100,0.0015,0.01,1e-06,-2.2555365736606325
20,100,0.002,0.01,1e-06,-2.8149551912891146
20,100,0.003,0.01,1e-06,-4.328710172712158
20,100,0.005,0.01,1e-06,-5.120271108595908
20,100,0.0015,0.002,5e-06,-1.173225301479186
20,100,0.002,0.002,5e-06,-2.327468936116306
20,100,0.003,0.002,5e-06,-2.113617082477648
20,100,0.005,0.002,5e-06,-1.4967756342387672
20,100,0.0015,0.006,5e-06,-1.0945843451312443
20,100,0.002,0.006,5e-06,-2.1854604017071178
20,100,0.003,0.006,5e-06,-2.773304190803072
20,100,0.005,0.006,5e-06,-2.4214314596411657
20,100,0.0015,0.008,5e-06,-2.130153651872635
20,100,0.002,0.008,5e-06,-4.859525012284194
20,100,0.003,0.008,5e-06,-5.753606977419601
20,100,0.005,0.008,5e-06,-6.130375945932687
20,100,0.0015,0.01,5e-06,-2.0180649916909488
20,100,0.002,0.01,5e-06,-5.9012063579983565
20,100,0.003,0.01,5e-06,-7.135909007811669
20,100,0.005,0.01,5e-06,-7.94958021781812
20,100,0.0015,0.002,1e-05,-2.6013572210539015
20,100,0.002,0.002,1e-05,-2.439436763033598
20,100,0.003,0.002,1e-05,-4.263275498499707
20,100,0.005,0.002,1e-05,-4.272637762494336
20,100,0.0015,0.006,1e-05,0.009666863856661045
20,100,0.002,0.006,1e-05,-2.0207521494661873
20,100,0.003,0.006,1e-05,-7.348870211841652
20,100,0.005,0.006,1e-05,-4.466367692684892
20,100,0.0015,0.008,1e-05,-0.2634690661906802
20,100,0.002,0.008,1e-05,-3.437907592585643
20,100,0.003,0.008,1e-05,-8.838606152009888
20,100,0.005,0.008,1e-05,-7.043204799744929
20,100,0.0015,0.01,1e-05,0.8810906595901891
20,100,0.002,0.01,1e-05,-3.272803549780212
20,100,0.003,0.01,1e-05,-9.302933960680559
20,100,0.005,0.01,1e-05,-8.352789802647997
20,100,0.0015,0.002,5e-05,-14.496683243698227
20,100,0.002,0.002,5e-05,-13.504596792785117
20,100,0.003,0.002,5e-05,-14.384389279556487
20,100,0.005,0.002,5e-05,-8.445831800940805
20,100,0.0015,0.006,5e-05,-14.477040729517189
20,100,0.002,0.006,5e-05,-15.36868133357795
20,100,0.003,0.006,5e-05,-17.771461854995064
20,100,0.005,0.006,5e-05,-7.611478788989157
20,100,0.0015,0.008,5e-05,-19.506330674751602
20,100,0.002,0.008,5e-05,-19.07572490363718
20,100,0.003,0.008,5e-05,-24.79310910175988
20,100,0.005,0.008,5e-05,-16.513912577095503
20,100,0.0015,0.01,5e-05,-20.545485719630808
20,100,0.002,0.01,5e-05,-20.85252727966378
20,100,0.003,0.01,5e-05,-25.182902761849668
20,100,0.005,0.01,5e-05,-17.095337962422754
1,200,0.0015,0.002,1e-06,0.33032930383232184
1,200,0.002,0.002,1e-06,-0.025910567863751677
1,200,0.003,0.002,1e-06,0.11800035568019229
1,200,0.005,0.002,1e-06,0.6189023421134365
1,200,0.0015,0.006,1e-06,0.3174041651021531
1,200,0.002,0.006,1e-06,0.012719722758935958
1,200,0.003,0.006,1e-06,-0.18041588318739032
1,200,0.005,0.006,1e-06,0.6719789298920142
1,200,0.0015,0.008,1e-06,0.1183216411167809
1,200,0.002,0.008,1e-06,-0.3838421321049501
1,200,0.003,0.008,1e-06,-0.7763000558109967
1,200,0.005,0.008,1e-06,0.0710062910878495
1,200,0.0015,0.01,1e-06,1.0710665994183355
1,200,0.002,0.01,1e-06,0.41524018996983436
1,200,0.003,0.01,1e-06,0.6557446741348505
1,200,0.005,0.01,1e-06,1.7193712680497297
1,200,0.0015,0.002,5e-06,-1.6033875692465727
1,200,0.002,0.002,5e-06,-1.237702190384371
1,200,0.003,0.002,5e-06,-0.00010048151336539135
1,200,0.005,0.002,5e-06,1.0300560410903215
