stockName,shortTerm,longTerm,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
INFRATEL_F1,3,100,0.01,0.008,5e-05,-3.524662992234129
INFRATEL_F1,4,100,0.01,0.008,5e-05,-2.4241585058241255
INFRATEL_F1,6,100,0.01,0.008,5e-05,-16.750081156372552
INFRATEL_F1,8,100,0.01,0.008,5e-05,-13.482488717123065
INFRATEL_F1,10,100,0.01,0.008,5e-05,-17.740386610252802
INFRATEL_F1,12,100,0.01,0.008,5e-05,-14.871059213977333
INFRATEL_F1,14,100,0.01,0.008,5e-05,0.6723462674643299
INFRATEL_F1,16,100,0.01,0.008,5e-05,2.2924904901417076
INFRATEL_F1,2,150,0.01,0.008,5e-05,-4.376879740300699
INFRATEL_F1,3,150,0.01,0.008,5e-05,-9.309280513140061
INFRATEL_F1,4,150,0.01,0.008,5e-05,1.3095660441482027
INFRATEL_F1,6,150,0.01,0.008,5e-05,-13.663038948080574
INFRATEL_F1,8,150,0.01,0.008,5e-05,1.7469491269035409
INFRATEL_F1,10,150,0.01,0.008,5e-05,-5.433898958752836
INFRATEL_F1,12,150,0.01,0.008,5e-05,-2.312879734856832
INFRATEL_F1,14,150,0.01,0.008,5e-05,11.160818977644915
INFRATEL_F1,16,150,0.01,0.008,5e-05,4.199342226883718
INFRATEL_F1,2,200,0.01,0.008,5e-05,-17.416445874528907
INFRATEL_F1,3,200,0.01,0.008,5e-05,1.4735949281573957
INFRATEL_F1,4,200,0.01,0.008,5e-05,-9.62650560725674
INFRATEL_F1,6,200,0.01,0.008,5e-05,-5.12582377627483
INFRATEL_F1,8,200,0.01,0.008,5e-05,-4.6648827469774945
INFRATEL_F1,10,200,0.01,0.008,5e-05,5.465736555837619
INFRATEL_F1,12,200,0.01,0.008,5e-05,9.488422227671457
INFRATEL_F1,14,200,0.01,0.008,5e-05,-9.572073306026397
INFRATEL_F1,16,200,0.01,0.008,5e-05,0.3550706491152855
INFRATEL_F1,2,250,0.01,0.008,5e-05,-9.07141933497827
INFRATEL_F1,3,250,0.01,0.008,5e-05,-5.170428749719536
INFRATEL_F1,4,250,0.01,0.008,5e-05,-7.598801316206094
INFRATEL_F1,6,250,0.01,0.008,5e-05,-7.150273051273048
INFRATEL_F1,8,250,0.01,0.008,5e-05,-8.272757686112698
INFRATEL_F1,10,250,0.01,0.008,5e-05,-1.1833864723368115
INFRATEL_F1,12,250,0.01,0.008,5e-05,-13.23523729453141
INFRATEL_F1,14,250,0.01,0.008,5e-05,-2.4977698474306864
INFRATEL_F1,16,250,0.01,0.008,5e-05,13.530158938349746
INFRATEL_F1,2,300,0.01,0.008,5e-05,2.1319684081540613
INFRATEL_F1,3,300,0.01,0.008,5e-05,-18.766849595330193
INFRATEL_F1,4,300,0.01,0.008,5e-05,-6.355635057219056
INFRATEL_F1,6,300,0.01,0.008,5e-05,-3.663782557551165
INFRATEL_F1,8,300,0.01,0.008,5e-05,-1.9184346433407828
INFRATEL_F1,10,300,0.01,0.008,5e-05,2.982628340620863
INFRATEL_F1,12,300,0.01,0.008,5e-05,-5.357780944704804
INFRATEL_F1,14,300,0.01,0.008,5e-05,4.560701545518553
INFRATEL_F1,16,300,0.01,0.008,5e-05,-0.684709254700655
INFRATEL_F1,2,400,0.01,0.008,5e-05,-6.441036688438673
INFRATEL_F1,3,400,0.01,0.008,5e-05,-6.198596364440534
INFRATEL_F1,4,400,0.01,0.008,5e-05,-9.301840031547782
INFRATEL_F1,6,400,0.01,0.008,5e-05,9.304319379371817
INFRATEL_F1,8,400,0.01,0.008,5e-05,-7.355467112522874
INFRATEL_F1,10,400,0.01,0.008,5e-05,6.0965515714905605
INFRATEL_F1,12,400,0.01,0.008,5e-05,10.714945097565387
INFRATEL_F1,14,400,0.01,0.008,5e-05,-10.137386119535819
INFRATEL_F1,16,400,0.01,0.008,5e-05,-2.476898639875147
NATURALGAS_F1,2,100,0.01,0.008,5e-05,15.679835927814413
NATURALGAS_F1,3,100,0.01,0.008,5e-05,15.251737185135017
NATURALGAS_F1,4,100,0.01,0.008,5e-05,4.701316423525381
NATURALGAS_F1,6,100,0.01,0.008,5e-05,6.583610811444451
NATURALGAS_F1,8,100,0.01,0.008,5e-05,14.333639148574484
NATURALGAS_F1,10,100,0.01,0.008,5e-05,15.297159834089857
NATURALGAS_F1,12,100,0.01,0.008,5e-05,24.984739882169915
NATURALGAS_F1,14,100,0.01,0.008,5e-05,14.881871448759343
NATURALGAS_F1,16,100,0.01,0.008,5e-05,-9.335081343692153
NATURALGAS_F1,2,150,0.01,0.008,5e-05,-3.158738440143105
NATURALGAS_F1,3,150,0.01,0.008,5e-05,22.31487655482138
NATURALGAS_F1,4,150,0.01,0.008,5e-05,12.00906569240745
NATURALGAS_F1,6,150,0.01,0.008,5e-05,0.7017598857010476
NATURALGAS_F1,8,150,0.01,0.008,5e-05,-5.435320418732504
NATURALGAS_F1,10,150,0.01,0.008,5e-05,6.226798272752587
NATURALGAS_F1,12,150,0.01,0.008,5e-05,-0.5452689879308914
NATURALGAS_F1,14,150,0.01,0.008,5e-05,21.69596429844505
NATURALGAS_F1,16,150,0.01,0.008,5e-05,17.09275416946998
NATURALGAS_F1,2,200,0.01,0.008,5e-05,30.26670472611819
NATURALGAS_F1,3,200,0.01,0.008,5e-05,21.50363597667575
NATURALGAS_F1,4,200,0.01,0.008,5e-05,-7.171828371198319
NATURALGAS_F1,6,200,0.01,0.008,5e-05,13.17399821159082
NATURALGAS_F1,8,200,0.01,0.008,5e-05,4.794246895776744
NATURALGAS_F1,10,200,0.01,0.008,5e-05,19.19549220689458
NATURALGAS_F1,12,200,0.01,0.008,5e-05,9.596131145075226
NATURALGAS_F1,14,200,0.01,0.008,5e-05,8.329138514058187
NATURALGAS_F1,16,200,0.01,0.008,5e-05,7.754836113986574
NATURALGAS_F1,2,250,0.01,0.008,5e-05,28.196399289071895
NATURALGAS_F1,3,250,0.01,0.008,5e-05,-3.4042211005614664
NATURALGAS_F1,4,250,0.01,0.008,5e-05,3.141127517540121
NATURALGAS_F1,6,250,0.01,0.008,5e-05,4.703920358815017
NATURALGAS_F1,8,250,0.01,0.008,5e-05,9.707130429744403
NATURALGAS_F1,10,250,0.01,0.008,5e-05,5.112090363608024
NATURALGAS_F1,12,250,0.01,0.008,5e-05,-13.341934970835556
NATURALGAS_F1,14,250,0.01,0.008,5e-05,10.415345258480446
NATURALGAS_F1,16,250,0.01,0.008,5e-05,-2.0994718772436194
NATURALGAS_F1,2,300,0.01,0.008,5e-05,-5.365780751833238
NATURALGAS_F1,3,300,0.01,0.008,5e-05,13.63410838157748
NATURALGAS_F1,4,300,0.01,0.008,5e-05,11.935692080619598
NATURALGAS_F1,6,300,0.01,0.008,5e-05,-3.5147163474983145
NATURALGAS_F1,8,300,0.01,0.008,5e-05,-2.1538588395628833
NATURALGAS_F1,10,300,0.01,0.008,5e-05,19.984046532303566
NATURALGAS_F1,12,300,0.01,0.008,5e-05,6.0301314572105635
NATURALGAS_F1,14,300,0.01,0.008,5e-05,6.874023977513599
NATURALGAS_F1,16,300,0.01,0.008,5e-05,3.0398897574016592
NATURALGAS_F1,2,400,0.01,0.008,5e-05,0.8516952698889968
NATURALGAS_F1,3,400,0.01,0.008,5e-05,-1.4261720744284223
NATURALGAS_F1,4,400,0.01,0.008,5e-05,2.3658757862782487
NATURALGAS_F1,6,400,0.01,0.008,5e-05,4.584404479039383
NATURALGAS_F1,8,400,0.01,0.008,5e-05,8.692656175774571
NATURALGAS_F1,10,400,0.01,0.008,5e-05,7.217247022871098
NATURALGAS_F1,12,400,0.01,0.008,5e-05,10.181158374848298
NATURALGAS_F1,14,400,0.01,0.008,5e-05,-1.1550461385939181
NATURALGAS_F1,16,400,0.01,0.008,5e-05,5.8072275554495345
GOLDPETAL_F1,2,100,0.01,0.008,5e-05,4.608941900239727
GOLDPETAL_F1,3,100,0.01,0.008,5e-05,2.3683388728551913
GOLDPETAL_F1,4,100,0.01,0.008,5e-05,9.320128995583321
GOLDPETAL_F1,6,100,0.01,0.008,5e-05,4.046769962422436
GOLDPETAL_F1,8,100,0.01,0.008,5e-05,3.071406113692121
GOLDPETAL_F1,10,100,0.01,0.008,5e-05,-1.624081434023128
GOLDPETAL_F1,12,100,0.01,0.008,5e-05,1.26815378329308
GOLDPETAL_F1,14,100,0.01,0.008,5e-05,12.022694711390214
GOLDPETAL_F1,16,100,0.01,0.008,5e-05,-0.4937939806664904
GOLDPETAL_F1,2,150,0.01,0.008,5e-05,-6.852598361875472
GOLDPETAL_F1,3,150,0.01,0.008,5e-05,-0.3967851591713645
GOLDPETAL_F1,4,150,0.01,0.008,5e-05,0.4210184691815888
GOLDPETAL_F1,6,150,0.01,0.008,5e-05,-4.568023161482115
GOLDPETAL_F1,8,150,0.01,0.008,5e-05,3.327590212419862
GOLDPETAL_F1,10,150,0.01,0.008,5e-05,-2.0297973583431883
GOLDPETAL_F1,12,150,0.01,0.008,5e-05,1.8708949862614288
GOLDPETAL_F1,14,150,0.01,0.008,5e-05,-3.015894016917686
GOLDPETAL_F1,16,150,0.01,0.008,5e-05,11.287556473952321
GOLDPETAL_F1,2,200,0.01,0.008,5e-05,-1.8829094531498058
GOLDPETAL_F1,3,200,0.01,0.008,5e-05,-2.513045847458828
GOLDPETAL_F1,4,200,0.01,0.008,5e-05,-1.7408993274021456
GOLDPETAL_F1,6,200,0.01,0.008,5e-05,13.39136579940341
GOLDPETAL_F1,8,200,0.01,0.008,5e-05,-0.4429673550848001
GOLDPETAL_F1,10,200,0.01,0.008,5e-05,-4.365140425078673
GOLDPETAL_F1,12,200,0.01,0.008,5e-05,4.422569033104784
GOLDPETAL_F1,14,200,0.01,0.008,5e-05,2.6103358505630725
GOLDPETAL_F1,16,200,0.01,0.008,5e-05,2.563841233908737
