ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
20,80,0.0015,0.008,0.0001,-21.215112213646936
20,80,0.002,0.008,0.0001,-28.36082014776976
20,80,0.0005,0.01,0.0001,-27.275350824553378
20,80,0.001,0.01,0.0001,-19.629776323107507
20,80,0.0015,0.01,0.0001,-16.907975964162635
20,80,0.002,0.01,0.0001,-26.615024436085232
20,80,0.0005,0.002,0.0002,-38.96472793619359
20,80,0.001,0.002,0.0002,-32.38039062675261
20,80,0.0015,0.002,0.0002,-33.951522870061744
20,80,0.002,0.002,0.0002,-32.86613107571529
20,80,0.0005,0.006,0.0002,-34.00916525088938
20,80,0.001,0.006,0.0002,-20.29443387234756
20,80,0.0015,0.006,0.0002,-23.779069472083524
20,80,0.002,0.006,0.0002,-29.19224709215681
20,80,0.0005,0.008,0.0002,-34.61167856882028
20,80,0.001,0.008,0.0002,-22.537993690714618
20,80,0.0015,0.008,0.0002,-28.899558412214745
20,80,0.002,0.008,0.0002,-30.818486949307776
20,80,0.0005,0.01,0.0002,-35.66866477756297
20,80,0.001,0.01,0.0002,-23.08291486299472
20,80,0.0015,0.01,0.0002,-29.063705026952324
20,80,0.002,0.01,0.0002,-33.7372581414334
1,100,0.0005,0.002,1e-05,-4.684292294197368
1,100,0.001,0.002,1e-05,-6.119185602445709
1,100,0.0015,0.002,1e-05,-7.476764580153961
1,100,0.002,0.002,1e-05,-7.353123411152307
1,100,0.0005,0.006,1e-05,-5.4586607421051925
1,100,0.001,0.006,1e-05,-6.8700301159093975
1,100,0.0015,0.006,1e-05,-10.110076676853852
1,100,0.002,0.006,1e-05,-10.167439782643385
1,100,0.0005,0.008,1e-05,-7.780380973769329
1,100,0.001,0.008,1e-05,-8.808816490486493
1,100,0.0015,0.008,1e-05,-10.73979816691628
1,100,0.002,0.008,1e-05,-11.01962906182875
1,100,0.0005,0.01,1e-05,-8.722810798361403
1,100,0.001,0.01,1e-05,-10.776313049218434
1,100,0.0015,0.01,1e-05,-11.0753306186669
1,100,0.002,0.01,1e-05,-11.378090169640554
1,100,0.0005,0.002,5e-05,-17.693395444244896
1,100,0.001,0.002,5e-05,-17.54450726203163
1,100,0.0015,0.002,5e-05,-14.423470066011868
1,100,0.002,0.002,5e-05,-12.367850206154307
1,100,0.0005,0.006,5e-05,-16.76950923235828
1,100,0.001,0.006,5e-05,-16.47457412553699
1,100,0.0015,0.006,5e-05,-17.723818694967598
1,100,0.002,0.006,5e-05,-16.91378350752086
1,100,0.0005,0.008,5e-05,-14.226325856726273
1,100,0.001,0.008,5e-05,-13.599824677886453
1,100,0.0015,0.008,5e-05,-15.537824874180927
1,100,0.002,0.008,5e-05,-15.04612854893297
1,100,0.0005,0.01,5e-05,-16.11097934417789
1,100,0.001,0.01,5e-05,-15.90345591634481
1,100,0.0015,0.01,5e-05,-17.513201019491408
1,100,0.002,0.01,5e-05,-18.564780491308408
1,100,0.0005,0.002,0.0001,-25.60987494696134
1,100,0.001,0.002,0.0001,-18.20798562623188
1,100,0.0015,0.002,0.0001,-11.367166241300296
1,100,0.002,0.002,0.0001,-6.037418234137338
1,100,0.0005,0.006,0.0001,-28.175085230363027
1,100,0.001,0.006,0.0001,-20.906941524498855
1,100,0.0015,0.006,0.0001,-19.94090342695517
1,100,0.002,0.006,0.0001,-12.971471225757437
1,100,0.0005,0.008,0.0001,-24.46748909667931
1,100,0.001,0.008,0.0001,-15.909092845529882
1,100,0.0015,0.008,0.0001,-19.59113260428824
1,100,0.002,0.008,0.0001,-13.21264023958857
1,100,0.0005,0.01,0.0001,-26.431594035921524
1,100,0.001,0.01,0.0001,-19.02963609487296
1,100,0.0015,0.01,0.0001,-22.517044916389384
1,100,0.002,0.01,0.0001,-18.573408414339266
1,100,0.0005,0.002,0.0002,-36.87262666546407
1,100,0.001,0.002,0.0002,-26.02629388000287
1,100,0.0015,0.002,0.0002,-19.708829580662822
1,100,0.002,0.002,0.0002,-13.83791448809638
1,100,0.0005,0.006,0.0002,-36.019448809228926
1,100,0.001,0.006,0.0002,-26.689952047245757
1,100,0.0015,0.006,0.0002,-23.64282084573156
1,100,0.002,0.006,0.0002,-13.936553976142086
1,100,0.0005,0.008,0.0002,-34.98962488806401
1,100,0.001,0.008,0.0002,-23.477565543021804
1,100,0.0015,0.008,0.0002,-21.59115462649345
1,100,0.002,0.008,0.0002,-11.795059393256146
1,100,0.0005,0.01,0.0002,-33.76765197438447
1,100,0.001,0.01,0.0002,-25.774501260812887
1,100,0.0015,0.01,0.0002,-26.946241177668963
1,100,0.002,0.01,0.0002,-19.283218302895634
4,100,0.0005,0.002,1e-05,-2.5497889344496594
4,100,0.001,0.002,1e-05,-0.8516642505273175
4,100,0.0015,0.002,1e-05,1.0069450275765224
4,100,0.002,0.002,1e-05,1.7118555908230748
4,100,0.0005,0.006,1e-05,-3.198215676695493
4,100,0.001,0.006,1e-05,-0.11847827545423684
4,100,0.0015,0.006,1e-05,0.4706561114395491
4,100,0.002,0.006,1e-05,2.82936558873339
4,100,0.0005,0.008,1e-05,-2.0487326360770775
4,100,0.001,0.008,1e-05,0.7031731587232137
4,100,0.0015,0.008,1e-05,0.24144636829104282
4,100,0.002,0.008,1e-05,4.401504060628669
4,100,0.0005,0.01,1e-05,-2.387999220808934
4,100,0.001,0.01,1e-05,-0.14740317721010365
4,100,0.0015,0.01,1e-05,-1.7481766689279143
4,100,0.002,0.01,1e-05,2.5874596132484884
4,100,0.0005,0.002,5e-05,-13.246032319377331
4,100,0.001,0.002,5e-05,-5.367232519416875
4,100,0.0015,0.002,5e-05,-0.8008828603543572
4,100,0.002,0.002,5e-05,3.2144931210516203
4,100,0.0005,0.006,5e-05,-13.561572015342227
4,100,0.001,0.006,5e-05,-4.601977970717874
4,100,0.0015,0.006,5e-05,-0.40296785756870346
4,100,0.002,0.006,5e-05,4.178990136251759
4,100,0.0005,0.008,5e-05,-12.962733664312932
4,100,0.001,0.008,5e-05,-3.506970583488289
4,100,0.0015,0.008,5e-05,-0.5421101879060974
4,100,0.002,0.008,5e-05,3.083253155922927
4,100,0.0005,0.01,5e-05,-15.077016465594383
4,100,0.001,0.01,5e-05,-8.39516595988059
4,100,0.0015,0.01,5e-05,-6.224731283561368
4,100,0.002,0.01,5e-05,-0.804699052999247
4,100,0.0005,0.002,0.0001,-23.331578215756
4,100,0.001,0.002,0.0001,-14.068404736517149
4,100,0.0015,0.002,0.0001,-8.581516314189097
4,100,0.002,0.002,0.0001,-3.1927908679806105
4,100,0.0005,0.006,0.0001,-24.467494204113827
4,100,0.001,0.006,0.0001,-11.720340545798202
4,100,0.0015,0.006,0.0001,-6.050650739713759
4,100,0.002,0.006,0.0001,-2.9646854002992273
4,100,0.0005,0.008,0.0001,-25.843499584940922
4,100,0.001,0.008,0.0001,-12.87652652071577
4,100,0.0015,0.008,0.0001,-7.278138019154168
4,100,0.002,0.008,0.0001,-4.619121410346816
4,100,0.0005,0.01,0.0001,-25.264010348364575
4,100,0.001,0.01,0.0001,-15.074292282836021
4,100,0.0015,0.01,0.0001,-12.002480195469268
4,100,0.002,0.01,0.0001,-6.634352912297348
4,100,0.0005,0.002,0.0002,-34.129988150231824
4,100,0.001,0.002,0.0002,-22.825048064191943
4,100,0.0015,0.002,0.0002,-8.415208440775313
4,100,0.002,0.002,0.0002,0.7154036654336782
4,100,0.0005,0.006,0.0002,-35.588486790722584
4,100,0.001,0.006,0.0002,-19.5804815980383
4,100,0.0015,0.006,0.0002,-12.52950251456536
4,100,0.002,0.006,0.0002,-3.248457492805268
4,100,0.0005,0.008,0.0002,-34.94340272395977
4,100,0.001,0.008,0.0002,-20.460936421977706
4,100,0.0015,0.008,0.0002,-15.192436681566123
4,100,0.002,0.008,0.0002,-1.5603775379293028
4,100,0.0005,0.01,0.0002,-37.09893980616605
4,100,0.001,0.01,0.0002,-22.478708378011202
4,100,0.0015,0.01,0.0002,-17.5750649673998
4,100,0.002,0.01,0.0002,-5.602132588848496
12,100,0.0005,0.002,1e-05,-3.9614170833694673
12,100,0.001,0.002,1e-05,-4.666368537339027
12,100,0.0015,0.002,1e-05,-4.627810193519322
12,100,0.002,0.002,1e-05,-4.320164064878796
12,100,0.0005,0.006,1e-05,-3.4548591374616744
12,100,0.001,0.006,1e-05,-7.329992328792645
12,100,0.0015,0.006,1e-05,-7.536137964404855
12,100,0.002,0.006,1e-05,-7.9720723243358105
12,100,0.0005,0.008,1e-05,-3.7265255513913353
12,100,0.001,0.008,1e-05,-7.56874036436912
12,100,0.0015,0.008,1e-05,-8.47554439656828
12,100,0.002,0.008,1e-05,-9.424965628616244
12,100,0.0005,0.01,1e-05,-5.292951082606356
12,100,0.001,0.01,1e-05,-10.672110461770568
12,100,0.0015,0.01,1e-05,-10.666000172816247
12,100,0.002,0.01,1e-05,-10.365835928922252
12,100,0.0005,0.002,5e-05,-16.10878968011722
12,100,0.001,0.002,5e-05,-13.519730358264436
12,100,0.0015,0.002,5e-05,-16.49410012950636
